milk,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0
water,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0
biscuits,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
coffee,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
brioches,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
yoghurt,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0
frozen vegetables,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tunny,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
beer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tomato souce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
coke,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
rice,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
juices,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
crackers,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oil,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
frozen fish,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ice cream,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mozzarella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tinned meat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
$C-pasta,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
$CC-pasta,0.7309062480926514,0.7457935214042664,0.6179653406143188,0.7294554114341736,0.6179653406143188,0.7759472727775574,0.7630946636199951,0.7294554114341736,0.6179653406143188,0.5995475053787231,0.7457935214042664,0.7309062480926514,0.7294554114341736,0.7294554114341736,0.5932914018630981,0.7294554114341736,0.5539568066596985,0.5932914018630981,0.7309062480926514,0.5619674921035767
