milk	water	biscuits	coffee	brioches	yoghurt	frozen vegetables	tunny	beer	tomato souce	coke	rice	juices	crackers	oil	frozen fish	ice cream	mozzarella	tinned meat	$C-pasta	$CC-pasta
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.7309062480926514
0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.7457935214042664
1	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0.6179653406143188
1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.7294554114341736
1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0.6179653406143188
0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.7759472727775574
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7630946636199951
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7294554114341736
1	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0.6179653406143188
1	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0.5995475053787231
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7457935214042664
1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7309062480926514
1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7294554114341736
1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.7294554114341736
1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.5932914018630981
1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.7294554114341736
0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0.5539568066596985
1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0.5932914018630981
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7309062480926514
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.5619674921035767
